video	frame	outline_conf	diameter	eyelids	major_axis	minor_axis
Braley_122_478_829	Braley_122_478_829_0000_face	0.5882353186607361	37	0.0	37	12
Braley_122_478_829	Braley_122_478_829_0001_face	0.7352941036224365	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0002_face	0.84375	30	0.0	30	15
Braley_122_478_829	Braley_122_478_829_0003_face	0.7352941036224365	38	0.0	38	36
Braley_122_478_829	Braley_122_478_829_0004_face	0.970588207244873	18	0.0	18	11
Braley_122_478_829	Braley_122_478_829_0005_face	0.7058823704719543	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0006_face	0.4000000059604645	36	0.0	36	10
Braley_122_478_829	Braley_122_478_829_0007_face	0.8529411554336548	20	0.0	20	14
Braley_122_478_829	Braley_122_478_829_0008_face	0.7647058963775635	20	0.0	20	17
Braley_122_478_829	Braley_122_478_829_0009_face	0.3235294222831726	19	0.0	19	10
Braley_122_478_829	Braley_122_478_829_0010_face	0.8181818127632141	17	0.0	17	8
Braley_122_478_829	Braley_122_478_829_0011_face	0.6764705777168274	32	0.0	32	25
Braley_122_478_829	Braley_122_478_829_0012_face	0.6363636255264282	24	0.0	24	12
Braley_122_478_829	Braley_122_478_829_0013_face	0.7272727489471436	24	0.0	24	20
Braley_122_478_829	Braley_122_478_829_0014_face	0.8529411554336548	28	0.0	28	20
Braley_122_478_829	Braley_122_478_829_0015_face	0.8787878751754761	18	0.0	18	14
Braley_122_478_829	Braley_122_478_829_0016_face	0.15625	17	0.0	17	10
Braley_122_478_829	Braley_122_478_829_0017_face	0.9428571462631226	25	0.0	25	17
Braley_122_478_829	Braley_122_478_829_0018_face	0.7058823704719543	42	0.0	42	18
Braley_122_478_829	Braley_122_478_829_0019_face	0.7272727489471436	42	0.0	42	35
Braley_122_478_829	Braley_122_478_829_0020_face	0.8285714387893677	30	0.0	30	22
Braley_122_478_829	Braley_122_478_829_0021_face	0.7941176295280457	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0022_face	0.7647058963775635	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0023_face	0.9428571462631226	39	0.0	39	31
Braley_122_478_829	Braley_122_478_829_0024_face	0.9090909361839294	32	0.0	32	13
Braley_122_478_829	Braley_122_478_829_0025_face	0.7575757503509521	20	0.0	20	18
Braley_122_478_829	Braley_122_478_829_0026_face	0.6285714507102966	32	0.0	32	24
Braley_122_478_829	Braley_122_478_829_0027_face	0.9117646813392639	41	0.0	41	27
Braley_122_478_829	Braley_122_478_829_0028_face	0.96875	16	0.0	16	13
Braley_122_478_829	Braley_122_478_829_0029_face	0.7058823704719543	34	0.0	34	33
Braley_122_478_829	Braley_122_478_829_0030_face	1.0	17	0.0	17	14
Braley_122_478_829	Braley_122_478_829_0031_face	0.6176470518112183	39	0.0	39	15
Braley_122_478_829	Braley_122_478_829_0032_face	1.0	32	0.0	32	14
Braley_122_478_829	Braley_122_478_829_0033_face	0.9696969985961914	17	0.0	17	15
Braley_122_478_829	Braley_122_478_829_0034_face	0.6571428775787354	33	0.0	33	18
Braley_122_478_829	Braley_122_478_829_0035_face	1.0	17	0.0	17	13
Braley_122_478_829	Braley_122_478_829_0036_face	0.9722222089767456	39	0.0	39	32
Braley_122_478_829	Braley_122_478_829_0037_face	0.7941176295280457	36	0.0	36	15
Braley_122_478_829	Braley_122_478_829_0038_face	0.9696969985961914	27	0.0	27	17
Braley_122_478_829	Braley_122_478_829_0039_face	0.9142857193946838	26	0.0	26	16
Braley_122_478_829	Braley_122_478_829_0040_face	1.0	38	0.0	38	32
