Timestamp,loc_x,loc_y,Size
2025-04-09-12:48:20, 478, 829, 122
2025-04-09-12:48:27, 32, 933, 33
2025-04-09-12:48:34, 88, 613, 335
2025-04-09-12:48:41, 1312, 739, 23
2025-04-09-12:48:49, 276, 452, 286
2025-04-09-12:48:56, 646, 376, 209
2025-04-09-12:50:50, 268, 757, 317
2025-04-09-12:50:57, 705, 323, 171
2025-04-09-12:51:03, 153, 208, 302
2025-04-09-12:51:10, 183, 516, 335
2025-04-09-12:51:18, 715, 46, 212
2025-04-09-12:51:25, 172, 704, 348
2025-04-09-12:52:00, 147, 306, 21
2025-04-09-12:52:07, 852, 52, 79
2025-04-09-12:52:41, 742, 450, 21
2025-04-09-12:52:48, 356, 470, 62
2025-04-09-12:52:56, 1107, 755, 85
2025-04-09-12:54:11, 685, 211, 71
2025-04-09-12:54:18, 613, 402, 94
2025-04-09-12:54:25, 1077, 632, 53
2025-04-09-13:01:10, 962, 335, 54
2025-04-09-13:01:17, 1528, 132, 59
2025-04-09-13:02:18, 504, 208, 77
2025-04-09-13:02:25, 1501, 980, 74
2025-04-09-13:02:32, 792, 490, 85
